,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91
bet,0.0,0.05281386836637644,0.0,0.0,0.021833425178865364,0.06104856192578149,0.18146664639764082,0.0,0.0,0.0,0.004916715841404859,0.05096702720252667,0.0458522682298812,0.0,0.006618924739559371,0.0,0.015951802042654468,0.0,0.0,0.0337878319436343,0.0,0.0,0.0,0.01220812026340606,0.0,0.0,0.0,0.0,0.26717379887197196,0.0005950220036130272,0.010908167755279754,0.012525969746820104,0.08216535511628527,0.01820515474169914,0.0,0.05519158364814066,0.05296738147736255,0.6844713248699922,0.12438749239314158,0.14484107819687833,0.07170917023039516,0.6039118355806871,0.2847228519942267,0.0,0.0,0.07857578607198841,0.12482520808074839,0.0,0.06775655558894134,0.0,0.018998505958001823,0.07731802118331775,0.27059089625936444,0.12438749239314158,0.019345249800933207,0.26470225400122516,0.09779364355210235,0.0012884496685733066,0.2890536586094067,0.6887387148656702,0.36125736670667813,0.015168698504986504,0.11628903657385449,0.0,0.0,0.2923750742682364,0.7560177350633686,0.326236947310954,0.6076703519701036,0.0,0.001656241834771857,0.0001856602186349353,0.0023668462233315123,0.042106005725782485,0.0,0.0,0.020721778250114883,0.0,0.012702212682124372,0.028318409458982743,0.0029471617883758713,0.1260237802892659,0.0,0.8168281307183882,0.0012884496685733066,0.032207525179284324,0.021694702318616484,0.032207525179284324,0.0,0.06691169570791516,0.14375465572424578,0.043503689479477275
blackjack,0.0,0.034396583277351296,0.0,0.0,0.015280828167157746,0.0,0.06647933496392418,0.0,0.0,0.0,0.03890619089494897,0.07468599085889659,0.16125823806526335,0.0,0.10669153719582529,0.0016969263585851308,0.02337542931053192,0.0,0.0,0.0065147323418601,0.0,0.0,0.0,0.01788951815404008,0.1691023540970016,0.0,0.0021861089509420295,0.0,0.0,0.0023251533582601836,0.11189216899282337,0.04588821996093604,0.006337018572241747,0.0,0.0,0.0026089214664429495,0.0,0.06917307795242882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09165139054563172,0.0,0.0,0.0025946604611579624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013045239689317492,0.006747150269347559,0.03063687790074979,0.12340247926347724,0.0,0.0,0.04048700047629852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23598109043806093,0.08265647640781582,0.23598109043806093,0.0,0.008913724257871998,0.04956588137420734,0.0017465582326294017
block,0.0,0.0,0.0,0.0,0.004079639657188704,0.01389592571758904,0.0,0.0,0.03203042444104227,0.0,0.0016787205779650463,0.03867052729342864,0.05218466194830361,0.0,0.007533026463673903,0.011202478710557899,0.027232220864911144,0.028696778289430565,0.02753417677597295,0.010119493573215689,0.07086405101457735,0.07086405101457735,0.0,0.0,0.0,0.1851742437515492,0.025468024991519546,0.11521727832369673,0.0,0.020090180010040922,0.0,0.028511719138313116,0.0,0.05055524870446728,0.3280453903261792,0.13373255671930523,0.029368350017830298,0.0,0.03680714319809398,0.02247876116966849,0.016322502469475867,0.0,0.0,0.0,0.0,0.0031938370396509463,0.038334757538823545,0.2715437230209864,0.0,0.0,0.03648759855402113,0.002015174874695466,0.018115332506291548,0.03680714319809398,0.004403382254094446,0.0,0.05136893660182134,0.0,0.0,0.0,0.0,0.32800764826917456,0.011029087357023706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009424879464946745,4.226013726578664e-05,0.001346858888517128,0.08386179308753094,0.024330599718725265,0.0,0.0,0.0,0.0,0.08057325632844088,0.09727114447220848,0.10839230503172201,0.0017953358928455678,0.0,0.0,0.0,0.014814499918173574,0.0,0.00222365449700125,0.006922953285537261,0.004811993721466631,0.002034728813428172
body,0.0,0.006004456777430555,0.4611708951359111,0.0,0.0,0.0374795995602832,0.0,0.0,0.0,0.4611708951359111,0.0025154365513090126,0.10430077903396939,0.028150125047595762,0.0,0.02709041686735974,0.000592449598406255,0.032644348147542024,0.01074999108868188,0.03713210406987421,0.0009097980098269838,0.25484268403306254,0.25484268403306254,0.0,0.012491570765486161,0.0,0.013318544626168749,0.006105907252865385,0.014798093791970368,0.0,0.0006088373398018733,0.0,0.019225200209702958,0.013274697829602678,0.0052157967546882355,0.03104534838130071,0.005465132180596185,0.0,0.0,0.0050910218118601375,0.006736546655414525,0.014674825528256356,0.03497737231759888,0.0,0.007014025610002912,0.035703509391835704,0.025842913039337948,0.012164135614454261,0.08137756993406463,0.0,0.0,0.0036449281783207193,0.0,0.04886003437524047,0.0050910218118601375,0.0019794411559715687,0.0,0.015394497741456441,0.0013183651426661336,0.0,0.0,0.0,0.031041776572816617,0.12890481279066,0.0,0.0,0.029916349540178744,0.0,0.0,0.0,0.0,0.0010591854866585666,0.00022796509628422102,0.0020181667646787835,0.04308363112642142,0.0713526807192122,0.08368638161408909,0.007067633504395696,0.04220405256044804,0.038991405353196444,0.02897591177760907,0.03920266430479238,0.09302105685174046,0.0,0.0,0.0013183651426661336,0.0,0.07991429083651273,0.0,0.0006663958103164524,0.006224114947785374,0.02163123223220298,0.0
bonus,0.059493399059582674,0.011472433812675221,0.0,0.5126354662037889,0.05064823198714361,0.5370788414579772,0.4582446011797307,0.0,0.013755321443630373,0.0,0.009131640510988725,0.33213767385124526,0.45717354564833845,0.0,0.012940097080753759,0.00424487117881938,0.10915104236482032,0.0,0.011824428144447216,0.045196017520983,0.0,0.0,0.09612951030242538,0.15513587771226156,0.43711087543474103,0.025447118260424416,0.007291419047278864,0.0,0.26116439080913684,0.01473484119179811,0.1759364596311881,0.048976917228168104,0.34663234399701703,0.14877184470410987,0.0,0.055690515267553156,0.05310360243443702,0.3460737155327304,0.01945435297160878,0.18663245205639523,0.35048125672727615,0.0,0.0,0.0,0.017054255012613446,0.012344210324110164,0.0193678692758378,0.0,0.11208583846208428,0.0,0.0,0.008077139180514795,0.14003186247304084,0.01945435297160878,0.0,0.6468710929356741,0.41914300864313075,0.0,0.6421639038351256,0.016831181393347924,0.7811703089639248,0.0,0.08525505360972595,0.0,0.0,0.17862426649204846,0.04105627790107569,0.3188990610741954,0.2795305051355593,0.0,0.0010118680041724336,0.0017241004244017643,0.0023136099223243357,0.12347680851799593,0.0,0.0,0.1080303655727174,0.0,0.02483301619441183,0.0,0.002880872736499073,0.0,0.0,0.217760623563641,0.0,0.03148309725142041,0.03393077458193182,0.03148309725142041,0.002546502409888649,0.0713527462294496,0.1363882753409169,0.007572977708551296
border,0.0,0.0,0.0,0.0,0.0008532352193414373,0.01598442956521648,0.0,0.0,0.0,0.0,0.0,0.0,0.03601668878705043,0.0,0.025995633547989075,0.2827376838950598,0.1983924155937695,0.11553427545845255,0.0,0.002328082857437605,0.0,0.0,0.0,0.0,0.0,0.08520208632929889,0.00585915411345115,0.09845382060642038,0.0,0.048296585079292936,0.0,0.1557853707738584,0.03396863492880063,0.007626689429214274,0.07944196688606653,0.34029512398245393,0.10312491379860161,0.0,0.02931169454953476,0.0,0.009387855705113702,0.0,0.0,0.06281868516709008,0.0,0.014695433536597108,0.04928412594332436,0.1041185645039244,0.0,0.0,0.05285305462934898,0.0,0.08335198744788146,0.02931169454953476,0.0025325967812351263,0.0,0.0295447444682493,0.0,0.0,0.0,0.0,0.0794328269824703,0.10149373196710043,0.0,0.0,0.009569121355690591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06597028745683017,0.053536287267157506,0.0,0.05399799198234111,0.0,0.05560986292515464,0.16011933691049207,0.1889140135119934,0.0,0.0,0.0,0.0,0.0,0.0,0.0017052407737856107,0.0,0.02214087100701412,0.0
bottom,0.0,0.0,0.0,0.0,0.0004154473743473614,0.0,0.0,0.0,0.0,0.0,0.0,0.04331785994974156,0.0350736548376783,0.0,0.008438327796129493,0.22735411611604986,0.19319785747353121,0.056254606348043266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033188487537347856,0.007607656559101773,0.04056291446957078,0.0,0.0331247047521561,0.0034766483528693307,0.15170640353942197,0.06615845136925624,0.07426997916882566,0.05802143853358552,0.10894852334498734,0.09349892234902367,0.0,0.03488737894560027,0.10911422429831673,0.07313640909388043,0.014526688386193672,0.0,0.026217380510949705,0.0,0.0178883241668917,0.08588347635778133,0.10139240214992158,0.006644723552231315,0.0,0.09839698071436404,0.0,0.06087717117194987,0.03488737894560027,0.0,0.0,0.028771167051851683,0.0,0.0,0.0,0.0,0.05801476309017067,0.11119083329065027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16104018060953704,0.018818648058838962,0.10426906659860381,0.052835517632677124,0.0,0.016193783517026984,0.0,0.09581050012438408,0.08891768819994503,0.0,0.0,0.0,0.0,0.07191110999124625,0.0,0.000830296014557506,0.0,0.0,0.0
box,0.0,0.0,0.0,0.0,0.0008766931681045736,0.0,0.0,0.0,0.0,0.0,0.0,0.045705514368104404,0.03700689362275396,0.0,0.0,0.01674527070135081,0.10728779332575389,0.16393375878453562,0.0,0.1076439919888115,0.0,0.0,0.0,0.0,0.0,0.008754454258323514,0.25184668633167834,0.027235547785108578,0.0,0.010671914070014766,0.007336558243148562,0.08424651019414553,0.0174512663664443,0.017631831556096097,0.04081303024713406,0.07184606281487402,0.25667925949729725,0.0,0.05688872321471672,0.008856041138010372,0.009645955503544724,0.0,0.0,0.13831233387655167,0.0,0.015099454279223792,0.005330430704845821,0.0,0.0,0.0,0.03194478867136533,0.0,0.04282178951772379,0.05688872321471672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040808334653903544,0.10428409353480664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00167091966654917,0.0008990667061294159,0.0,0.028319436437345805,0.029441537493325516,0.0,0.0,0.0,0.0,0.019046247271783712,0.08721621103463356,0.0491739800665554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008182384958469607,0.028436985938525748,0.0
button,0.0,0.0,0.0,0.0,0.01845250328893919,0.03072777665659478,0.019028794472624625,0.0,0.0,0.0,0.0024747470127519473,0.021377836748960977,0.11539487687514681,0.0,0.06663051010153229,0.01748598516347778,0.14050879188725335,0.010576099929843702,0.007610720325422199,0.014545069113410549,0.0,0.0,0.0,0.0,0.0,0.016378880889811393,0.0,0.0,0.0,0.007986517686257117,0.006863055654865337,0.11033291860291305,0.016324958972776676,0.07055711251281513,0.0,0.03584485704528899,0.0,0.0,0.006260837216406566,0.04970682535127641,0.018046808127504563,0.0,0.0,0.008625708983142225,0.0,0.0,0.05485044283334951,0.0,0.0,0.0,0.0508012141328937,0.0022280575159971125,0.22031935579130385,0.006260837216406566,0.0,0.0,0.07572738672072707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018395265381090865,0.039638430487816206,0.0,0.044979521864018907,0.0,0.0002605130427255704,0.00025698469003581693,0.0009927605149740327,0.0,0.012169445285251466,0.0,0.0,0.0,0.015983617878476627,0.05345099870146228,0.04079363173434632,0.0036316013598192147,0.0,0.0,0.0,0.0,0.02183933401373804,0.0,0.0,0.0,0.010640663411074796,0.0022496771286212207
cad,0.0,0.0,0.0,0.0,0.015312105443833443,0.0,0.03229837912458509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01291799808102961,0.03038518411462853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000423620464513387,0.011648955156505722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022263996479090914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23645517738476274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031473072547074394,0.002054690287352736,0.0,0.0,0.0,0.0,0.0,0.0,0.0013910065181345268,0.0,0.009030424430786117,0.0
